application,protocol_category,contract_address,contract_role,label_type,source_url,etherscan_verified,first_block,abi_url,notes
Rocket Pool (rETH),Liquid Staking (LSD),0xae78736Cd615f374D3085123A210448E74Fc6393,Rocket Pool rETH Token,Contract:contentReference[oaicite:57]{index=57},Yes,12244000,:contentReference[oaicite:58]{index=58},"Rocket Pool’s rETH token (ERC-20) representing staked ETH:contentReference[oaicite:59]{index=59}. rETH appreciates as staking rewards accumulate."
Rocket Pool (rETH),Liquid Staking (LSD),0xDD3f50F8A6CafbE9b31a427582963f465E745AF8,RocketPool Deposit Pool,Contract:contentReference[oaicite:60]{index=60}:contentReference[oaicite:61]{index=61},Yes,12244000,:contentReference[oaicite:62]{index=62},"Rocket Pool deposit contract:contentReference[oaicite:63]{index=63} – users send ETH here to mint rETH. Holds incoming ETH before assigning to node operators."
Rocket Pool (rETH),Liquid Staking (LSD),0x1d8f8f00cfa6758d7bE78336684788Fb0ee0Fa46,RocketStorage,Contract:contentReference[oaicite:64]{index=64},Yes,12244000,:contentReference[oaicite:65]{index=65},"Rocket Pool core storage contract:contentReference[oaicite:66]{index=66}. Stores addresses of all Rocket Pool sub-contracts and config; acts as an on-chain registry."
Coinbase (cbETH),Liquid Staking (LSD),0xBe9895146f7AF43049ca1c1AE358B0541Ea49704,Coinbase Wrapped Staked ETH (cbETH),Contract:contentReference[oaicite:67]{index=67},Yes,15259166,:contentReference[oaicite:68]{index=68},"Coinbase’s liquid staked ETH token (cbETH). ERC-20 wrapper for staked ETH:contentReference[oaicite:69]{index=69}; accrues rewards via increasing exchange rate."
Frax Finance (frxETH),Liquid Staking (LSD),0x5E8422345238F34275888049021821E8E08CAa1f,Frax ETH (frxETH) Token,Contract:contentReference[oaicite:70]{index=70},Yes,15544931,:contentReference[oaicite:71]{index=71},"Frax Ether token (frxETH):contentReference[oaicite:72]{index=72} – stable-value token minted 1:1 for each ETH staked into Frax’s LSD system. Can be further staked to earn yield."
Frax Finance (sfrxETH),Liquid Staking (LSD),0xac3E018457B222d93114458476f3E3416Abbe38F,Staked Frax Ether (sfrxETH) Vault,Contract:contentReference[oaicite:73]{index=73},Yes,15544931,:contentReference[oaicite:74]{index=74},"Yield-bearing vault token (ERC-4626) for Frax ETH:contentReference[oaicite:75]{index=75}. Users stake frxETH into vault to receive sfrxETH, which accrues staking yield over time."
Frax Finance (FRAX),Stablecoin,0x853d955aCEf822Db058eb8505911ED77F175b99e,FRAX Stablecoin Token,Contract:contentReference[oaicite:76]{index=76},Yes,11663858,:contentReference[oaicite:77]{index=77},"FRAX stablecoin (fractional-algorithmic USD):contentReference[oaicite:78]{index=78}. Supply expands/contracts via AMOs to hold $1 peg; backed by crypto collateral & governance."
MakerDAO (DAI),Stablecoin,0x6B175474E89094C44Da98b954EedeAC495271d0F,DAI Stablecoin Token,Contract:contentReference[oaicite:79]{index=79},Yes,8914025,:contentReference[oaicite:80]{index=80},"DAI stablecoin (ERC-20) by MakerDAO:contentReference[oaicite:81]{index=81}. Soft-pegged to USD, generated by collateralized debt positions in Maker’s protocol."
MakerDAO (Spark),Lending,0x19c0976f590D67707E62397C87829d896Dc0f1F1,Spark Lend DAI Market (v3 Pool),Proxy:contentReference[oaicite:82]{index=82},Yes,17789123,:contentReference[oaicite:83]{index=83},"Spark Protocol’s DAI lending pool (on Ethereum) – a MakerDAO-endorsed fork of Aave V3 for DAI lending:contentReference[oaicite:84]{index=84}. Integrates DAI Savings Rate for enhanced yield."
Liquity (LUSD),Stablecoin,0x5f98805a4E8be255a32880FDeC7F6728C6568Ba0,LUSD Stablecoin Token,Contract:contentReference[oaicite:85]{index=85},Yes,12045000,:contentReference[oaicite:86]{index=86},"LUSD token by Liquity:contentReference[oaicite:87]{index=87} – USD-pegged stablecoin minted by fully ETH-collateralized loans (no governance). Redemption always possible for $1 of ETH."
Compound V2,Lending,0x3d9819210A31b4961b30EF54bE2aeD79B9c9Cd3B,Comptroller (Unitroller) Proxy,Proxy:contentReference[oaicite:88]{index=88},Yes,7710757,:contentReference[oaicite:89]{index=89},"Compound v2 Comptroller proxy – risk parameter manager & entry point for Compound markets. Each market’s interest rates & liquidity are controlled via this."
Compound V2,Lending,0x39AA39c021dfbaE8faC545936693aC917d5E7563,cUSDC Interest Bearing Token,Proxy,Yes,7710795,:contentReference[oaicite:90]{index=90},"Compound v2 cUSDC market proxy (implementation cToken) – users supply USDC and receive cUSDC. Earns interest via increasing exchange rate."
Compound V3 (USDC),Lending,0xA17581A9E3356d9A858b789D68B4d866e593aE94,Compound V3 USDC Primary Pool,Proxy,Yes,15208012,:contentReference[oaicite:91]{index=91},"Compound III (Comet) USDC market proxy. Isolated lending pool with USDC as base asset (supplied/borrowed) and multiple collateral assets."
